group,revenue,count,label
control,8.899999999999999,1,1
control,8.9,13,1
control,9.0,211,1
control,9.1,9,1
control,9.2,24,1
control,9.299999999999999,1,1
control,9.3,17,1
control,9.399999999999999,1,1
control,9.4,18,1
control,9.5,18,1
control,9.6,36,1
control,9.7,12,1
control,9.8,22,1
control,9.9,11,1
control,10.0,2285,1
control,10.1,22,1
control,10.100000000000001,1,1
control,10.2,36,1
control,10.3,12,1
control,10.4,28,1
control,10.5,34,1
control,10.6,17,1
control,10.600000000000001,1,1
control,10.7,12,1
control,10.799999999999999,1,1
control,10.8,19,1
control,10.9,10,1
control,11.0,145,1
control,11.1,11,1
control,11.2,15,1
control,11.3,11,1
control,11.4,8,1
control,11.5,21,1
control,11.6,9,1
control,11.7,7,1
control,11.8,16,1
control,11.899999999999999,1,1
control,11.9,13,1
control,12.0,189,1
control,12.1,7,1
control,12.2,10,1
control,12.299999999999999,2,1
control,12.3,6,1
control,12.399999999999999,1,1
control,12.4,8,1
control,12.5,17,1
control,12.6,12,1
control,12.7,13,1
control,12.8,13,1
control,12.899999999999999,1,1
control,12.9,14,1
control,13.0,105,1
control,13.000000000000002,1,1
control,13.1,9,1
control,13.2,9,1
control,13.3,8,1
control,13.4,3,1
control,13.5,16,1
control,13.6,14,1
control,13.600000000000001,1,1
control,13.7,11,1
control,13.8,15,1
control,13.9,7,1
control,14.0,100,1
control,14.1,6,1
control,14.199999999999998,1,1
control,14.2,7,1
control,14.3,5,1
control,14.4,10,1
control,14.5,18,1
control,14.6,5,1
control,14.600000000000001,1,1
control,14.7,8,1
control,14.700000000000001,1,1
control,14.8,14,1
control,14.9,8,1
control,15.0,403,1
control,15.1,5,1
control,15.2,20,1
control,15.3,3,1
control,15.4,3,1
control,15.5,6,1
control,15.6,13,1
control,15.7,11,1
control,15.8,6,1
control,15.9,6,1
control,16.0,103,1
control,16.1,5,1
control,16.2,8,1
control,16.200000000000003,1,1
control,16.3,5,1
control,16.4,6,1
control,16.5,12,1
control,16.599999999999998,1,1
control,16.6,5,1
control,16.7,9,1
control,16.8,13,1
control,16.9,3,1
control,17.0,65,1
control,17.1,1,1
control,17.2,2,1
control,17.3,4,1
control,17.4,6,1
control,17.5,12,1
control,17.6,5,1
control,17.7,8,1
control,17.700000000000003,1,1
control,17.8,8,1
control,17.9,3,1
control,18.0,65,1
control,18.1,4,1
control,18.2,7,1
control,18.3,8,1
control,18.4,5,1
control,18.400000000000002,1,1
control,18.5,4,1
control,18.6,6,1
control,18.7,3,1
control,18.8,7,1
control,18.9,3,1
control,19.0,41,1
control,19.1,3,1
control,19.2,11,1
control,19.3,3,1
control,19.4,3,1
control,19.5,7,1
control,19.6,7,1
control,19.7,3,1
control,19.8,7,1
control,19.9,14,1
control,20.0,1046,1
control,20.1,13,1
control,20.2,11,1
control,20.3,11,1
control,20.4,11,1
control,20.5,13,1
control,20.6,8,1
control,20.7,1,1
control,20.8,11,1
control,20.9,3,1
control,21.0,47,1
control,21.1,3,1
control,21.2,3,1
control,21.200000000000003,1,1
control,21.3,3,1
control,21.4,7,1
control,21.5,7,1
control,21.6,7,1
control,21.7,4,1
control,21.799999999999997,1,1
control,21.8,9,1
control,21.9,1,1
control,22.0,34,1
control,22.1,3,1
control,22.2,1,1
control,22.3,1,1
control,22.4,5,1
control,22.5,10,1
control,22.6,4,1
control,22.8,2,1
control,22.9,2,1
control,23.0,29,1
control,23.1,2,1
control,23.2,6,1
control,23.3,1,1
control,23.4,2,1
control,23.5,5,1
control,23.6,4,1
control,23.7,2,1
control,23.799999999999997,1,1
control,23.8,2,1
control,23.9,4,1
control,24.0,36,1
control,24.1,3,1
control,24.2,3,1
control,24.3,1,1
control,24.4,3,1
control,24.5,3,1
control,24.6,3,1
control,24.7,6,1
control,24.799999999999997,1,1
control,24.8,6,1
control,24.9,2,1
control,25.0,167,1
control,25.099999999999998,1,1
control,25.1,3,1
control,25.2,2,1
control,25.3,3,1
control,25.4,2,1
control,25.5,3,1
control,25.6,3,1
control,25.8,6,1
control,25.9,3,1
control,26.0,41,1
control,26.1,2,1
control,26.2,4,1
control,26.3,2,1
control,26.4,2,1
control,26.6,6,1
control,26.7,1,1
control,26.799999999999997,1,1
control,26.8,3,1
control,26.9,1,1
control,27.0,28,1
control,27.1,2,1
control,27.2,7,1
control,27.3,2,1
control,27.4,1,1
control,27.5,7,1
control,27.6,1,1
control,27.7,1,1
control,27.8,6,1
control,27.9,3,1
control,28.0,17,1
control,28.1,1,1
control,28.2,2,1
control,28.3,1,1
control,28.4,5,1
control,28.5,2,1
control,28.7,2,1
control,28.8,3,1
control,28.9,1,1
control,29.0,14,1
control,29.1,1,1
control,29.2,3,1
control,29.200000000000003,1,1
control,29.3,1,1
control,29.4,1,1
control,29.5,4,1
control,29.6,2,1
control,29.7,3,1
control,29.8,2,1
control,29.9,1,1
control,30.0,297,1
control,30.099999999999998,1,1
control,30.1,3,1
control,30.2,2,1
control,30.3,3,1
control,30.5,4,1
control,30.6,1,1
control,30.7,2,1
control,30.8,4,1
control,30.9,2,1
control,31.0,18,1
control,31.1,1,1
control,31.3,1,1
control,31.4,2,1
control,31.5,3,1
control,31.6,2,1
control,31.8,3,1
control,32.0,17,1
control,32.2,4,1
control,32.3,2,1
control,32.4,2,1
control,32.5,2,1
control,32.6,1,1
control,32.8,1,1
control,32.9,2,1
control,33.0,13,1
control,33.2,2,1
control,33.3,1,1
control,33.4,1,1
control,33.5,2,1
control,33.6,2,1
control,33.8,1,1
control,33.9,2,1
control,34.0,12,1
control,34.2,1,1
control,34.4,1,1
control,34.6,1,1
control,34.8,2,1
control,35.0,44,1
control,35.2,3,1
control,35.5,3,1
control,35.6,1,1
control,35.7,1,1
control,35.8,1,1
control,35.9,1,1
control,36.0,16,1
control,36.1,2,1
control,36.2,3,1
control,36.4,2,1
control,36.5,4,1
control,36.6,1,1
control,36.8,5,1
control,36.800000000000004,1,1
control,37.0,8,1
control,37.2,4,1
control,37.3,1,1
control,37.4,1,1
control,37.5,5,1
control,37.9,1,1
control,38.0,19,1
control,38.1,1,1
control,38.2,3,1
control,38.3,1,1
control,38.5,1,1
control,38.6,1,1
control,38.7,2,1
control,38.9,2,1
control,39.0,6,1
control,39.1,1,1
control,39.2,3,1
control,39.4,1,1
control,39.5,3,1
control,39.6,2,1
control,39.8,2,1
control,39.9,2,1
control,40.0,164,1
control,40.1,2,1
control,40.2,3,1
control,40.3,1,1
control,40.4,4,1
control,40.5,2,1
control,40.6,1,1
control,40.7,1,1
control,40.8,2,1
control,40.9,1,1
control,41.0,9,1
control,41.2,1,1
control,41.3,2,1
control,41.4,1,1
control,41.5,1,1
control,41.6,2,1
control,41.7,2,1
control,41.8,2,1
control,41.9,1,1
control,42.0,16,1
control,42.2,3,1
control,42.4,1,1
control,42.6,2,1
control,43.0,4,1
control,43.1,1,1
control,43.2,2,1
control,43.5,1,1
control,43.8,2,1
control,43.800000000000004,1,1
control,43.9,3,1
control,44.0,13,1
control,44.4,1,1
control,44.5,1,1
control,44.6,1,1
control,44.7,1,1
control,44.9,1,1
control,45.0,24,1
control,45.2,1,1
control,45.3,1,1
control,45.6,2,1
control,45.7,1,1
control,45.9,1,1
control,46.0,6,1
control,46.1,1,1
control,46.3,3,1
control,46.6,3,1
control,46.8,1,1
control,47.0,6,1
control,47.2,2,1
control,47.4,1,1
control,47.6,1,1
control,47.7,1,1
control,48.0,8,1
control,48.099999999999994,1,1
control,48.1,1,1
control,48.2,1,1
control,48.5,2,1
control,48.6,1,1
control,49.0,5,1
control,49.1,1,1
control,49.5,2,1
control,49.8,1,1
control,49.9,4,1
control,50.0,369,1
control,50.1,1,1
control,50.2,1,1
control,50.3,1,1
control,50.4,5,1
control,51.0,10,1
control,51.1,1,1
control,51.2,1,1
control,51.4,1,1
control,51.7,1,1
control,52.0,3,1
control,53.0,1,1
control,53.3,1,1
control,53.4,1,1
control,53.5,2,1
control,53.7,2,1
control,54.0,4,1
control,54.4,1,1
control,54.5,1,1
control,54.6,1,1
control,55.0,16,1
control,55.1,3,1
control,55.5,1,1
control,55.6,1,1
control,55.7,1,1
control,56.0,6,1
control,56.6,2,1
control,56.8,1,1
control,57.0,5,1
control,57.2,2,1
control,57.4,1,1
control,57.9,1,1
control,58.0,4,1
control,58.4,1,1
control,58.6,1,1
control,59.0,1,1
control,59.5,1,1
control,59.8,1,1
control,59.9,1,1
control,60.0,68,1
control,60.1,1,1
control,60.2,1,1
control,60.4,1,1
control,60.6,2,1
control,61.0,1,1
control,61.1,1,1
control,61.6,1,1
control,61.7,1,1
control,61.8,1,1
control,62.0,2,1
control,62.4,2,1
control,62.5,4,1
control,63.0,7,1
control,63.1,1,1
control,63.2,1,1
control,63.6,1,1
control,63.7,1,1
control,64.0,5,1
control,64.2,1,1
control,64.4,1,1
control,64.5,1,1
control,65.0,11,1
control,65.1,1,1
control,65.6,1,1
control,66.0,6,1
control,66.1,1,1
control,66.5,1,1
control,67.0,3,1
control,67.4,2,1
control,67.6,1,1
control,67.8,1,1
control,68.0,1,1
control,68.4,1,1
control,69.0,7,1
control,69.3,1,1
control,70.0,38,1
control,70.2,1,1
control,71.0,1,1
control,71.8,1,1
control,71.9,1,1
control,72.0,3,1
control,72.7,1,1
control,73.0,6,1
control,73.4,1,1
control,73.7,1,1
control,73.8,1,1
control,74.0,1,1
control,74.2,2,1
control,74.6,1,1
control,74.60000000000001,1,1
control,74.7,1,1
control,74.9,1,1
control,75.0,7,1
control,76.0,2,1
control,76.1,1,1
control,77.0,3,1
control,77.6,2,1
control,77.8,1,1
control,78.5,1,1
control,79.0,1,1
control,79.5,1,1
control,79.6,1,1
control,80.0,38,1
control,80.1,1,1
control,80.3,1,1
control,81.0,3,1
control,81.1,1,1
control,81.3,1,1
control,81.5,1,1
control,82.0,5,1
control,82.1,1,1
control,82.2,1,1
control,82.4,1,1
control,82.9,1,1
control,83.3,1,1
control,83.5,1,1
control,84.0,4,1
control,85.0,7,1
control,85.6,1,1
control,86.3,1,1
control,87.0,2,1
control,87.3,1,1
control,87.5,1,1
control,88.0,5,1
control,88.4,1,1
control,89.0,1,1
control,89.8,1,1
control,90.0,14,1
control,90.1,1,1
control,90.7,1,1
control,91.0,1,1
control,91.2,1,1
control,92.0,1,1
control,92.4,1,1
control,92.7,1,1
control,93.0,1,1
control,93.7,1,1
control,94.0,1,1
control,94.4,1,1
control,95.0,4,1
control,95.2,1,1
control,96.5,1,1
control,97.5,1,1
control,98.0,2,1
control,98.2,1,1
test,0.0,36476,2
test,1.0,4574,2
test,1.1,153,2
test,1.2,184,2
test,1.3,146,2
test,1.4,199,2
test,1.5,442,2
test,1.6,190,2
test,1.7,112,2
test,1.8,147,2
test,1.9,101,2
test,2.0,2622,2
test,2.1,166,2
test,2.2,144,2
test,2.3,84,2
test,2.4,140,2
test,2.4000000000000004,3,2
test,2.5,276,2
test,2.6,110,2
test,2.7,86,2
test,2.8,119,2
test,2.9,54,2
test,2.9000000000000004,1,2
test,3.0,1487,2
test,3.1,68,2
test,3.2,105,2
test,3.3,69,2
test,3.3000000000000003,7,2
test,3.4,78,2
test,3.4000000000000004,3,2
test,3.5,116,2
test,3.5999999999999996,2,2
test,3.6,63,2
test,3.7,57,2
test,3.8,62,2
test,3.9,39,2
test,3.9000000000000004,1,2
test,4.0,1077,2
test,4.1,45,2
test,4.2,89,2
test,4.3,36,2
test,4.300000000000001,8,2
test,4.4,62,2
test,4.5,90,2
test,4.6,53,2
test,4.699999999999999,1,2
test,4.7,34,2
test,4.8,75,2
test,4.800000000000001,2,2
test,4.9,42,2
test,5.0,2072,2
test,5.1,55,2
test,5.2,72,2
test,5.3,34,2
test,5.300000000000001,3,2
test,5.4,55,2
test,5.5,58,2
test,5.6,35,2
test,5.6000000000000005,1,2
test,5.699999999999999,1,2
test,5.7,36,2
test,5.8,56,2
test,5.800000000000001,1,2
test,5.9,29,2
test,6.0,544,2
test,6.1,25,2
test,6.199999999999999,3,2
test,6.2,30,2
test,6.3,29,2
test,6.300000000000001,2,2
test,6.4,43,2
test,6.5,52,2
test,6.6,40,2
test,6.699999999999999,2,2
test,6.7,22,2
test,6.8,37,2
test,6.800000000000001,2,2
test,6.9,20,2
test,7.0,342,2
test,7.1,20,2
test,7.199999999999999,1,2
test,7.2,49,2
test,7.3,21,2
test,7.4,23,2
test,7.5,55,2
test,7.6,18,2
test,7.699999999999999,1,2
test,7.7,14,2
test,7.8,26,2
test,7.9,14,2
test,8.0,398,2
test,8.1,22,2
test,8.2,17,2
test,8.3,16,2
test,8.4,24,2
test,8.499999999999998,1,2
test,8.5,27,2
test,8.6,11,2
test,8.7,24,2
test,8.799999999999999,1,2
test,8.8,35,2
test,8.899999999999999,1,2
test,8.9,12,2
test,9.0,187,2
test,9.1,14,2
test,9.2,26,2
test,9.3,10,2
test,9.4,17,2
test,9.5,23,2
test,9.6,25,2
test,9.7,12,2
test,9.8,22,2
test,9.899999999999999,1,2
test,9.9,21,2
test,10.0,2116,2
test,10.1,28,2
test,10.2,35,2
test,10.3,12,2
test,10.4,29,2
test,10.5,21,2
test,10.6,22,2
test,10.600000000000001,1,2
test,10.7,12,2
test,10.8,27,2
test,10.9,13,2
test,11.0,134,2
test,11.1,9,2
test,11.2,18,2
test,11.3,7,2
test,11.4,14,2
test,11.5,16,2
test,11.6,10,2
test,11.7,4,2
test,11.8,11,2
test,11.9,6,2
test,12.0,169,2
test,12.1,10,2
test,12.100000000000001,1,2
test,12.2,10,2
test,12.200000000000001,1,2
test,12.3,8,2
test,12.4,15,2
test,12.5,18,2
test,12.6,10,2
test,12.7,5,2
test,12.799999999999999,1,2
test,12.8,10,2
test,12.9,4,2
test,13.0,102,2
test,13.1,9,2
test,13.2,8,2
test,13.3,2,2
test,13.399999999999999,1,2
test,13.4,7,2
test,13.5,14,2
test,13.6,10,2
test,13.600000000000001,3,2
test,13.7,5,2
test,13.8,12,2
test,13.9,5,2
test,13.999999999999998,1,2
test,14.0,83,2
test,14.099999999999998,1,2
test,14.1,4,2
test,14.2,10,2
test,14.3,6,2
test,14.4,13,2
test,14.499999999999998,1,2
test,14.5,11,2
test,14.6,10,2
test,14.600000000000001,2,2
test,14.7,4,2
test,14.799999999999999,1,2
test,14.8,10,2
test,14.9,3,2
test,15.0,385,2
test,15.1,3,2
test,15.2,7,2
test,15.3,2,2
test,15.399999999999999,1,2
test,15.4,4,2
test,15.5,9,2
test,15.6,7,2
test,15.7,6,2
test,15.700000000000001,1,2
test,15.8,8,2
test,15.9,6,2
test,15.999999999999998,1,2
test,16.0,91,2
test,16.1,3,2
test,16.2,9,2
test,16.200000000000003,2,2
test,16.3,1,2
test,16.4,4,2
test,16.5,13,2
test,16.6,3,2
test,16.7,2,2
test,16.8,11,2
test,16.9,4,2
test,17.0,47,2
test,17.1,7,2
test,17.2,11,2
test,17.3,1,2
test,17.4,8,2
test,17.5,6,2
test,17.599999999999998,1,2
test,17.6,4,2
test,17.7,1,2
test,17.8,5,2
test,17.9,4,2
test,18.0,75,2
test,18.1,1,2
test,18.2,4,2
test,18.3,4,2
test,18.4,9,2
test,18.5,8,2
test,18.6,7,2
test,18.7,6,2
test,18.8,2,2
test,18.9,3,2
test,19.0,38,2
test,19.1,4,2
test,19.2,9,2
test,19.200000000000003,1,2
test,19.3,3,2
test,19.4,3,2
test,19.5,11,2
test,19.6,9,2
test,19.7,8,2
test,19.8,7,2
test,19.9,5,2
test,20.0,928,2
test,20.1,10,2
test,20.2,6,2
test,20.3,9,2
test,20.4,9,2
test,20.5,11,2
test,20.599999999999998,1,2
test,20.6,8,2
test,20.7,5,2
test,20.8,9,2
test,20.9,1,2
test,21.0,58,2
test,21.1,4,2
test,21.2,6,2
test,21.3,2,2
test,21.4,4,2
test,21.5,1,2
test,21.6,9,2
test,21.7,3,2
test,21.8,5,2
test,21.9,2,2
test,22.0,47,2
test,22.2,2,2
test,22.3,4,2
test,22.4,4,2
test,22.5,7,2
test,22.6,2,2
test,22.8,3,2
test,22.9,1,2
test,23.0,23,2
test,23.1,3,2
test,23.3,3,2
test,23.4,2,2
test,23.5,4,2
test,23.6,3,2
test,23.7,2,2
test,23.799999999999997,1,2
test,23.8,4,2
test,24.0,41,2
test,24.1,3,2
test,24.2,2,2
test,24.3,2,2
test,24.4,8,2
test,24.5,2,2
test,24.500000000000004,1,2
test,24.6,1,2
test,24.7,2,2
test,24.799999999999997,1,2
test,24.8,5,2
test,24.9,3,2
test,25.0,118,2
test,25.1,1,2
test,25.2,2,2
test,25.3,2,2
test,25.4,2,2
test,25.5,3,2
test,25.599999999999998,1,2
test,25.6,5,2
test,25.7,1,2
test,25.9,1,2
test,26.0,32,2
test,26.1,1,2
test,26.2,1,2
test,26.3,6,2
test,26.4,7,2
test,26.5,3,2
test,26.6,2,2
test,26.7,1,2
test,26.8,5,2
test,26.9,1,2
test,27.0,17,2
test,27.1,1,2
test,27.2,5,2
test,27.4,2,2
test,27.5,4,2
test,27.6,3,2
test,27.7,3,2
test,27.8,1,2
test,28.0,19,2
test,28.1,2,2
test,28.2,3,2
test,28.3,4,2
test,28.400000000000006,1,2
test,28.5,3,2
test,28.6,1,2
test,28.7,1,2
test,28.8,3,2
test,28.9,2,2
test,29.0,13,2
test,29.2,3,2
test,29.3,1,2
test,29.4,2,2
test,29.5,1,2
test,29.6,4,2
test,29.7,1,2
test,29.8,3,2
test,29.9,1,2
test,30.0,305,2
test,30.1,3,2
test,30.2,1,2
test,30.4,4,2
test,30.5,2,2
test,30.599999999999998,1,2
test,30.6,1,2
test,30.7,3,2
test,30.8,1,2
test,30.9,1,2
test,31.0,21,2
test,31.1,3,2
test,31.4,1,2
test,31.5,6,2
test,31.8,2,2
test,31.9,2,2
test,32.0,16,2
test,32.1,1,2
test,32.2,1,2
test,32.4,4,2
test,32.5,3,2
test,32.6,1,2
test,32.7,2,2
test,32.8,2,2
test,32.9,1,2
test,33.0,18,2
test,33.1,1,2
test,33.2,2,2
test,33.5,2,2
test,33.6,2,2
test,33.8,1,2
test,34.0,11,2
test,34.1,1,2
test,34.2,2,2
test,34.5,2,2
test,34.6,1,2
test,34.7,1,2
test,34.8,2,2
test,34.9,1,2
test,35.0,34,2
test,35.1,2,2
test,35.2,2,2
test,35.3,2,2
test,35.4,2,2
test,35.5,4,2
test,35.6,2,2
test,35.7,1,2
test,35.8,1,2
test,36.0,13,2
test,36.1,1,2
test,36.4,1,2
test,36.5,2,2
test,36.6,1,2
test,36.7,1,2
test,36.9,3,2
test,37.0,9,2
test,37.4,1,2
test,37.5,1,2
test,37.6,1,2
test,37.8,1,2
test,37.9,1,2
test,38.0,12,2
test,38.1,1,2
test,38.2,3,2
test,38.4,3,2
test,38.5,1,2
test,38.7,1,2
test,38.8,3,2
test,38.9,1,2
test,39.0,12,2
test,39.2,1,2
test,39.3,1,2
test,39.5,1,2
test,39.6,1,2
test,39.7,1,2
test,40.0,140,2
test,40.1,1,2
test,40.2,1,2
test,40.4,1,2
test,40.7,1,2
test,40.8,1,2
test,40.9,1,2
test,41.0,7,2
test,41.5,2,2
test,41.6,2,2
test,41.7,1,2
test,42.0,9,2
test,42.2,1,2
test,42.3,1,2
test,42.300000000000004,1,2
test,42.5,2,2
test,42.7,1,2
test,42.8,2,2
test,43.0,7,2
test,43.2,1,2
test,43.6,2,2
test,43.7,1,2
test,44.0,7,2
test,44.1,2,2
test,44.7,1,2
test,45.0,22,2
test,45.1,1,2
test,45.3,1,2
test,45.4,2,2
test,46.0,10,2
test,46.1,1,2
test,46.3,1,2
test,46.6,1,2
test,46.7,1,2
test,46.8,1,2
test,47.0,1,2
test,47.2,2,2
test,47.6,1,2
test,47.8,1,2
test,48.0,9,2
test,48.1,1,2
test,48.5,3,2
test,48.6,1,2
test,48.8,1,2
test,49.0,2,2
test,49.1,1,2
test,49.2,1,2
test,49.5,2,2
test,49.6,3,2
test,49.8,1,2
test,49.800000000000004,1,2
test,49.9,2,2
test,50.0,340,2
test,50.1,5,2
test,50.2,2,2
test,50.4,2,2
test,50.5,5,2
test,50.6,1,2
test,51.0,7,2
test,51.2,1,2
test,51.5,3,2
test,51.6,1,2
test,51.8,1,2
test,52.0,6,2
test,52.2,1,2
test,52.3,1,2
test,52.5,1,2
test,52.7,1,2
test,52.8,1,2
test,53.0,3,2
test,53.4,1,2
test,53.5,2,2
test,53.6,1,2
test,53.7,1,2
test,53.8,1,2
test,53.800000000000004,1,2
test,54.0,5,2
test,54.5,1,2
test,54.800000000000004,1,2
test,54.9,2,2
test,55.0,9,2
test,55.1,1,2
test,55.2,1,2
test,55.5,1,2
test,55.6,2,2
test,55.8,1,2
test,55.9,1,2
test,56.0,7,2
test,56.1,1,2
test,56.2,1,2
test,56.7,1,2
test,56.8,1,2
test,57.0,4,2
test,57.2,1,2
test,57.6,1,2
test,57.8,1,2
test,58.0,5,2
test,59.0,3,2
test,59.4,1,2
test,59.5,1,2
test,59.7,1,2
test,59.8,2,2
test,60.0,33,2
test,60.1,3,2
test,60.5,3,2
test,60.6,1,2
test,61.0,8,2
test,61.1,1,2
test,61.2,1,2
test,61.3,1,2
test,61.4,1,2
test,61.6,1,2
test,62.0,2,2
test,62.3,1,2
test,62.5,1,2
test,62.599999999999994,1,2
test,62.7,1,2
test,63.0,8,2
test,63.4,1,2
test,63.6,1,2
test,63.7,1,2
test,64.0,7,2
test,64.5,1,2
test,65.0,8,2
test,65.4,1,2
test,65.5,1,2
test,66.0,4,2
test,66.6,1,2
test,66.8,1,2
test,67.0,3,2
test,67.4,1,2
test,68.0,2,2
test,68.2,1,2
test,68.4,2,2
test,68.5,1,2
test,68.8,1,2
test,69.6,1,2
test,69.9,1,2
test,70.0,26,2
test,70.1,1,2
test,70.3,1,2
test,70.5,1,2
test,70.8,1,2
test,71.0,1,2
test,71.4,1,2
test,72.0,4,2
test,72.4,1,2
test,72.5,1,2
test,72.7,1,2
test,73.0,1,2
test,73.4,1,2
test,73.6,1,2
test,74.0,6,2
test,74.4,2,2
test,75.0,12,2
test,75.1,1,2
test,75.6,1,2
test,75.9,1,2
test,76.0,2,2
test,76.9,1,2
test,77.0,1,2
test,77.3,1,2
test,78.0,3,2
test,78.5,1,2
test,79.0,1,2
test,79.2,1,2
test,79.9,1,2
test,80.0,27,2
test,80.1,1,2
test,80.9,1,2
test,81.0,1,2
test,82.0,1,2
test,83.0,1,2
test,83.2,1,2
test,83.7,1,2
test,84.0,4,2
test,84.4,1,2
test,85.0,8,2
test,85.3,1,2
test,86.0,1,2
test,86.8,1,2
test,87.0,2,2
test,87.4,1,2
test,87.6,1,2
test,88.0,1,2
test,89.0,3,2
test,89.2,2,2
test,89.4,1,2
test,90.0,18,2
test,90.2,1,2
test,90.7,1,2
test,91.0,1,2
test,91.2,1,2
test,91.7,1,2
test,92.0,2,2
test,93.0,1,2
test,94.0,2,2
test,94.9,1,2
test,95.0,1,2
test,96.0,3,2
test,96.4,1,2
test,97.2,1,2
test,98.0,2,2
test,99.0,3,2
test,99.9,2,2
